id,Place Name,created_at,favorite_count,full_text,quote_count,reply_count,retweet_count
1,Monumen Nasional,Tue Sep 26 10:44:28 +0000 2023,8,Tiap hari orang demo di monas terus https://t.co/XO6yP0VsVd,0,1,6
1,Monumen Nasional,Sat Sep 30 13:39:54 +0000 2023,9,Selamat Malam Minggu Kopi Nako Monas https://t.co/Je44dTO4vI,2,7,0
1,Monumen Nasional,Sun Sep 17 13:55:49 +0000 2023,190,Naksir banget sama yang cover part legendnya Hyunsuk mana yeah2nya keliatan monas pula Btw ini team dance cover dari indonesia yang mau tengok gas ngeng dah : https://t.co/bgYPUtcvAX https://t.co/01bQGuMCKN,1,0,27
1,Monumen Nasional,Mon Dec 25 11:51:08 +0000 2023,3281,Sekarang Monas jadi Cantik sekali setelah wan Angin menelantarkannya selama 5 tahun .. Terima kasih pak Heru Budi https://t.co/ap3xJlGGkg,565,1828,464
1,Monumen Nasional,Tue Sep 26 07:52:49 +0000 2023,40,Ribuan Petani bersama Buruh Masyarakat Adat Nelayan Mahasiswa mulai long march dari Masjid Istiqlal menuju Gerbang Monas (sebelah Patung Kuda) https://t.co/7WyFJWZjsJ,0,1,5
1,Monumen Nasional,Fri Jul 21 10:01:54 +0000 2023,79,Dita Karang dari samping Monas https://t.co/4fnbg4g9uM,0,0,15
1,Monumen Nasional,Sat Sep 30 05:31:46 +0000 2023,3,Persiapan HUT TNI ke 78 🇲🇨 Lap. Monas 30 September 2023. https://t.co/N6nsCKuuuk,0,0,0
1,Monumen Nasional,Fri Jul 14 15:01:25 +0000 2023,196,Apakah sekaligus akan menunaikan janjinya utk DIGANTUNG di Monas ? https://t.co/JMguVqkTZi,9,33,36
1,Monumen Nasional,Sat Jul 22 13:20:04 +0000 2023,4, buat yang suka naik M7 hati hati wey M7 retouting dari Kp Rambutan - Monas jadi Kp Rambutan - Kp Melayu https://t.co/Izcoi5o4MN,1,0,2
1,Monumen Nasional,Sat Jul 29 22:53:36 +0000 2023,3,siapa yg cita citanya jadi monas https://t.co/sfDvB1wcHI,0,1,0
1,Monumen Nasional,Tue Nov 28 10:19:41 +0000 2023,23,Bismillah...️ Ayo kita putihkan kembali Monas &amp; langitkan do'a dalam acara Munajat Kubro untuk Keselamatan NKRI &amp; Kemenangan Palestina dalam rangka Reuni 2 1 2. Ditunggu Kehadiran semuanya tgl 2/12/2023 jam 03:00 - 09:00 WIB Allaahu Akbar ️🇮🇩🇵🇸 #IndonesiaForPalestine https://t.co/S5JrQrP1Bx,0,2,9
1,Monumen Nasional,Sat Nov 18 13:46:58 +0000 2023,377,seunghwan ngomongin nama dia di monas pas lagi ulang tahun wkwk https://t.co/Bd9AuQKhOw,9,0,117
1,Monumen Nasional,Wed Nov 22 02:35:06 +0000 2023,152,Eh niat gertak sama Mbak Nana eh sama mbak Nana malah diokein. BTW kapan jubir ini terjun dari Monas? Ingat sumpah itu sama dg janji..... Jangan sampai kutukan Ahok benar²nyata https://t.co/Y3cpbeNSWj,7,37,64
1,Monumen Nasional,Thu Sep 28 10:18:10 +0000 2023,780,Kendaraan terkeren di pameran Monas https://t.co/uogAOIQVR8,30,82,63
1,Monumen Nasional,Wed Jan 24 12:26:02 +0000 2024,12,Potret seorang bocah bermain layang2 pada tahun 1965 dengan background monumen nasional/Monas sedang dalam proses pembangunan... https://t.co/7tnt49omZH,0,1,1
1,Monumen Nasional,Mon Jan 22 05:57:14 +0000 2024,18,Yg aku inget kenapa jadi monas ya https://t.co/Ahs076ceqM,0,0,0
1,Monumen Nasional,Mon Jan 29 04:16:30 +0000 2024,1488,@aniesbubble Jalur sepeda sepanjang 196km! Tanpa jalur khusus ini gw gak akan berani ajak anak sepedaan sampe bundaran HI dan Monas. Dan mereka happy banget! #TakeAniesLookatJakarta! https://t.co/f0P2xDBwD6,9,18,568
1,Monumen Nasional,Thu Jan 25 08:06:33 +0000 2024,44,Kocak segala nanyain raibnya pohon di Monas tanyain Noh majikan lu yg nebang pohon buat buka lahan food estate yg gagal itu di Kalimantan. Selain hati lu yg item muke lu jg item.. kocak https://t.co/7B7VMCJLeu,0,13,22
